,unique_tag,secondary_county_y,yr_range,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net,arc_county,agi_inflow_capita,agi_outflow_capita
3714,Harney County total migration-1516,"Harney County Total Migration-US and Foreign, OR",1516,2015,2016,388,7204000,305,5970000,83,1234000,Harney County,18567.01030927835,19573.77049180328
3715,Hood River County total migration-1516,"Hood River County Total Migration-US and Foreign, OR",1516,2015,2016,1281,45576000,1214,35332000,67,10244000,Hood River County,35578.45433255269,29103.78912685338
3721,Jackson County total migration-1516,"Jackson County Total Migration-US and Foreign, OR",1516,2015,2016,9606,279182000,7267,184867000,2339,94315000,Jackson County,29063.29377472413,25439.245906151093
3758,Jefferson County total migration-1516,"Jefferson County Total Migration-US and Foreign, OR",1516,2015,2016,1375,29583000,1025,23084000,350,6499000,Jefferson County,21514.909090909092,22520.975609756097
3762,Josephine County total migration-1516,"Josephine County Total Migration-US and Foreign, OR",1516,2015,2016,4237,98442000,3166,70192000,1071,28250000,Josephine County,23233.891904649518,22170.562223626028
3776,Klamath County total migration-1516,"Klamath County Total Migration-US and Foreign, OR",1516,2015,2016,3135,66023000,2757,63886000,378,2137000,Klamath County,21059.968102073366,23172.28871962278
3787,Lake County total migration-1516,"Lake County Total Migration-US and Foreign, OR",1516,2015,2016,410,7999000,334,6475000,76,1524000,Lake County,19509.756097560974,19386.22754491018
3788,Lane County total migration-1516,"Lane County Total Migration-US and Foreign, OR",1516,2015,2016,15534,421107000,12055,336873000,3479,84234000,Lane County,27108.72923908845,27944.670261302363
3838,Lincoln County total migration-1516,"Lincoln County Total Migration-US and Foreign, OR",1516,2015,2016,3274,95943000,2497,62561000,777,33382000,Lincoln County,29304.520464263896,25054.465358430116
3852,Linn County total migration-1516,"Linn County Total Migration-US and Foreign, OR",1516,2015,2016,7100,167122000,5311,119655000,1789,47467000,Linn County,23538.309859154928,22529.65543212201
3869,Malheur County total migration-1516,"Malheur County Total Migration-US and Foreign, OR",1516,2015,2016,1434,23353000,1305,25333000,129,-1980000,Malheur County,16285.216178521618,19412.260536398466
3874,Marion County total migration-1516,"Marion County Total Migration-US and Foreign, OR",1516,2015,2016,16684,407668000,13214,325243000,3470,82425000,Marion County,24434.66794533685,24613.51596791282
3908,Morrow County total migration-1516,"Morrow County Total Migration-US and Foreign, OR",1516,2015,2016,661,10672000,638,12362000,23,-1690000,Morrow County,16145.234493192133,19376.17554858934
3910,Multnomah County total migration-1516,"Multnomah County Total Migration-US and Foreign, OR",1516,2015,2016,45902,1831181000,45900,1585119000,2,246062000,Multnomah County,39893.272624286525,34534.183006535946
4033,Polk County total migration-1516,"Polk County Total Migration-US and Foreign, OR",1516,2015,2016,6395,148323000,4767,118469000,1628,29854000,Polk County,23193.588741204065,24851.898468638556
4046,Sherman County total migration-1516,"Sherman County Total Migration-US and Foreign, OR",1516,2015,2016,90,1729000,59,1621000,31,108000,Sherman County,19211.11111111111,27474.57627118644
4047,Tillamook County total migration-1516,"Tillamook County Total Migration-US and Foreign, OR",1516,2015,2016,1565,47513000,1017,24457000,548,23056000,Tillamook County,30359.744408945688,24048.18092428712
